id,publication_id,edition_id,title,author_creator,date_period,year,place_of_publishing,publisher,language,subject_keywords,url_original_object
375386,406304,375386,Հայ գրողները և Վրաստանը,"Մելիքսեթ-Բեկ, Լ. Մ.",1964.0,1964.0,Երևան,,hy,Գրականագիտություն Գրական կապեր,https://arar.sci.am/dlibra/publication/406304/edition/375386
375381,406296,375381,Հայ դեմոկրատական մամուլի պատմությունից,"Իշխանյան, Ս. Թ.",1962.0,1962.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,,Հայ մամուլի պատմություն,https://arar.sci.am/dlibra/publication/406296/edition/375381
419051,451367,419051,Հայելի վարուց,,1994.0,1994.0,Երևան,Հայաստանի ԳԱԱ հրատ.,hy,Բարոյախոսություն Հայ միջնադարյան գրականություն,https://arar.sci.am/dlibra/publication/451367/edition/419051
388062,420025,388062,Հայերեն խաղեր,Սայաթ-Նովա,1984.0,1984.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,Հայ գրականություն Երգարան,https://arar.sci.am/dlibra/publication/420025/edition/388062
377445,408183,377445,Հայ և ադրբեջանական ժողովուրդների բարեկամության արտացոլումը գրականության մեջ,Աքպեր Երևանլի,1955.0,1955.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականագիտություն,https://arar.sci.am/dlibra/publication/408183/edition/377445
376281,407158,376281,Հայ ժողովրդական հանելուկներ,"Հարությունյան, Ս. Բ.",1960.0,1960.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Բանահյուսություն Հանելուկ,https://arar.sci.am/dlibra/publication/407158/edition/376281
381402,412643,381402,Հայ ժողովրդական հերոսական էպոսը,"Գրիգորյան, Գր.",1960.0,1960.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայկական ժողովրդական էպոս Բանահյուսություն Դյուցազներգություն,https://arar.sci.am/dlibra/publication/412643/edition/381402
377425,408174,377425,Հայ ժողովրդական պանդխտության երգեր,,1961.0,1961.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականություն Երգարան,https://arar.sci.am/dlibra/publication/408174/edition/377425
379262,410403,379262,Հայ-իրանական գրական առնչություններ (V-XVIII դարերում),"Չուգասզյան, Բ. Լ.",1963.0,1963.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Գրականագիտություն Գրական կապեր,https://arar.sci.am/dlibra/publication/410403/edition/379262
387760,419743,387760,Հայկական առածանի,"Ղանալանյան, Ա․ Տ․",1951.0,1951.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ ժողովրդական բանահյուսություն,https://arar.sci.am/dlibra/publication/419743/edition/387760
408280,442261,408280,Հայկական ռեալիզմի տեսության և պատմության հարցեր,,1983.0,1983.0,Երևան,ՀՍՍՀ ԳԱ հրատ․,hy,Հայ գրականագիտություն,https://arar.sci.am/dlibra/publication/442261/edition/408280
403670,435561,403670,Հայկական ռեալիզմի տեսության և պատմության հարցեր,,1987.0,1987.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,Հայ գրականագիտություն,https://arar.sci.am/dlibra/publication/435561/edition/403670
379942,411138,379942,Հայկական «Սասնա ծռեր» էպոսը և համաշխարհային էպիկական ժառանգությունը,,2004.0,2004.0,Երևան,,hy ; ru ; en,Հայ գրականություն Էպոս Բանահյուսություն Դյուցազներգություն,https://arar.sci.am/dlibra/publication/411138/edition/379942
395203,426952,395203,Հայ-հունգարական գրական առնչությունները և «Արմենիա» ամսագիրը,"Գևորգյան-Բագի, Էվա",1979.0,1979.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,Հայ գրականության պատմություն Հայ գրականագիտություն Գրական կապեր Հայ մամուլ,https://arar.sci.am/dlibra/publication/426952/edition/395203
419736,452077,419736,Հայ միջնադարյան գրականություն,"Նալբանդյան, Վ․ Ս․ ; Ներսիսյան, Վ. Ս. ; Բախչինյան, Հ. Գ.",1986.0,1986.0,Երևան,Սովետական գրող,hy,Հայ գրականագիտություն Միջնադարյան գրականություն,https://arar.sci.am/dlibra/publication/452077/edition/419736
391304,423777,391304,Հայ միջնադարյան զրույցներ,"Սրապյան, Արմենուհի",1969.0,1969.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,Հայ գրականագիտություն Միջնադարյան զրույցներ,https://arar.sci.am/dlibra/publication/423777/edition/391304
391303,423776,391303,Հայ միջնադարյան պատմական ողբեր (ԺԴ-ԺԷ դդ.),"Խաչատրյան, Պ. Մ.",1969.0,1969.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,Հայ ժողովրդական բանահյուսություն Ողբեր,https://arar.sci.am/dlibra/publication/423776/edition/391303
396160,428250,396160,Հայ միջնադարյան տաղերգության գեղարվեստական միջոցները,"Ներսիսյան, Վարագ",1976.0,1976.0,Երևան,Հայկական ՍՍՀ ԳԱ հրատ․,hy,Հայ գրականագիտություն Տաղերգություն,https://arar.sci.am/dlibra/publication/428250/edition/396160
384096,415647,384096,"Հայ նոր գրականության պատմություն, հատոր 1",,1962.0,1962.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականագիտություն Հայ գրականության պատմություն,https://arar.sci.am/dlibra/publication/415647/edition/384096
